compound_id,patent_id,assignees,pIC50_median,Core,R1,R2
DPC0121,DEMO-103-A1,Kestrel BioDiscovery,6.08,c1cc([*:2])ccc1[*:1],CN[*:1],CO[*:2]
DPC0122,DEMO-103-A1,Kestrel BioDiscovery,6.27,c1cc([*:2])ccc1[*:1],CN(C)[*:1],CO[*:2]
DPC0123,DEMO-103-A1,Kestrel BioDiscovery,6.38,c1cc([*:2])ccc1[*:1],N#C[*:1],CO[*:2]
DPC0124,DEMO-103-A1,Kestrel BioDiscovery,6.27,c1cc([*:2])ccc1[*:1],FC(F)(F)[*:1],CO[*:2]
DPC0125,DEMO-103-A1,Kestrel BioDiscovery,6.13,c1cc([*:2])ccc1[*:1],NC(=O)[*:1],CO[*:2]
DPC0126,DEMO-103-A1,Kestrel BioDiscovery,6.11,c1cc([*:2])ccc1[*:1],CNC(=O)[*:1],CO[*:2]
DPC0127,DEMO-103-A1,Kestrel BioDiscovery,5.98,c1cc([*:2])ccc1[*:1],NS(=O)(=O)[*:1],CO[*:2]
DPC0128,DEMO-103-A1,Kestrel BioDiscovery,6.06,c1cc([*:2])ccc1[*:1],FC(F)(F)O[*:1],CO[*:2]
DPC0132,DEMO-103-A1,Kestrel BioDiscovery,6.16,c1cc([*:2])ccc1[*:1],O[*:1],CO[*:2]
DPC0133,DEMO-103-A1,Kestrel BioDiscovery,6.1,c1cc([*:2])ccc1[*:1],O=C(O)[*:1],CO[*:2]
DPC0134,DEMO-103-A1,Kestrel BioDiscovery,6.13,c1cc([*:2])ccc1[*:1],CCO[*:1],CCO[*:2]
DPC0135,DEMO-103-A1,Kestrel BioDiscovery,5.92,c1cc([*:2])ccc1[*:1],CCO[*:1],N[*:2]
DPC0136,DEMO-103-A1,Kestrel BioDiscovery,5.98,c1cc([*:2])ccc1[*:1],CCO[*:1],CN[*:2]
DPC0137,DEMO-103-A1,Kestrel BioDiscovery,6.11,c1cc([*:2])ccc1[*:1],CCO[*:1],CN(C)[*:2]
DPC0138,DEMO-103-A1,Kestrel BioDiscovery,,c1cc([*:2])ccc1[*:1],CCO[*:1],N#C[*:2]
DPC0139,DEMO-103-A1,Kestrel BioDiscovery,6.32,c1cc([*:2])ccc1[*:1],CCO[*:1],FC(F)(F)[*:2]
DPC0140,DEMO-103-A1,Kestrel BioDiscovery,6.29,c1cc([*:2])ccc1[*:1],CCO[*:1],NC(=O)[*:2]
DPC0141,DEMO-103-A1,Kestrel BioDiscovery,6.31,c1cc([*:2])ccc1[*:1],CCO[*:1],CNC(=O)[*:2]
DPC0142,DEMO-103-A1,Kestrel BioDiscovery,6.09,c1cc([*:2])ccc1[*:1],CCO[*:1],NS(=O)(=O)[*:2]
DPC0143,DEMO-103-A1,Kestrel BioDiscovery,6.0,c1cc([*:2])ccc1[*:1],CCO[*:1],FC(F)(F)O[*:2]
DPC0147,DEMO-103-A1,Kestrel BioDiscovery,6.11,c1cc([*:2])ccc1[*:1],CCO[*:1],O[*:2]
DPC0148,DEMO-103-A1,Kestrel BioDiscovery,,c1cc([*:2])ccc1[*:1],CCO[*:1],O=C(O)[*:2]
DPC0149,DEMO-103-A1,Kestrel BioDiscovery,6.18,c1cc([*:2])ccc1[*:1],N[*:1],N[*:2]
DPC0150,DEMO-103-A1,Kestrel BioDiscovery,6.2,c1cc([*:2])ccc1[*:1],CN[*:1],N[*:2]
DPC0151,DEMO-103-A1,Kestrel BioDiscovery,6.16,c1cc([*:2])ccc1[*:1],CN(C)[*:1],N[*:2]
DPC0152,DEMO-103-A1,Kestrel BioDiscovery,6.15,c1cc([*:2])ccc1[*:1],N#C[*:1],N[*:2]
DPC0153,DEMO-103-A1,Kestrel BioDiscovery,6.06,c1cc([*:2])ccc1[*:1],FC(F)(F)[*:1],N[*:2]
DPC0154,DEMO-103-A1,Kestrel BioDiscovery,6.06,c1cc([*:2])ccc1[*:1],NC(=O)[*:1],N[*:2]
DPC0155,DEMO-103-A1,Kestrel BioDiscovery,6.22,c1cc([*:2])ccc1[*:1],CNC(=O)[*:1],N[*:2]
DPC0156,DEMO-103-A1,Kestrel BioDiscovery,6.2,c1cc([*:2])ccc1[*:1],NS(=O)(=O)[*:1],N[*:2]
DPC0157,DEMO-103-A1,Kestrel BioDiscovery,6.25,c1cc([*:2])ccc1[*:1],FC(F)(F)O[*:1],N[*:2]
DPC0161,DEMO-103-A1,Kestrel BioDiscovery,,c1cc([*:2])ccc1[*:1],O[*:1],N[*:2]
DPC0162,DEMO-103-A1,Kestrel BioDiscovery,5.73,c1cc([*:2])ccc1[*:1],O=C(O)[*:1],N[*:2]
DPC0163,DEMO-104-A1,Kestrel BioDiscovery | Mosaic Medicines,6.01,c1cc([*:2])ccc1[*:1],CN[*:1],CN[*:2]
DPC0164,DEMO-104-A1,Kestrel BioDiscovery | Mosaic Medicines,6.33,c1cc([*:2])ccc1[*:1],CN[*:1],CN(C)[*:2]
DPC0165,DEMO-104-A1,Kestrel BioDiscovery | Mosaic Medicines,6.305,c1cc([*:2])ccc1[*:1],CN[*:1],N#C[*:2]
DPC0166,DEMO-104-A1,Kestrel BioDiscovery | Mosaic Medicines,6.33,c1cc([*:2])ccc1[*:1],CN[*:1],FC(F)(F)[*:2]
DPC0167,DEMO-104-A1,Kestrel BioDiscovery | Mosaic Medicines,6.35,c1cc([*:2])ccc1[*:1],CN[*:1],NC(=O)[*:2]
DPC0168,DEMO-104-A1,Kestrel BioDiscovery | Mosaic Medicines,6.43,c1cc([*:2])ccc1[*:1],CN[*:1],CNC(=O)[*:2]
DPC0169,DEMO-104-A1,Mosaic Medicines,6.18,c1cc([*:2])ccc1[*:1],CN[*:1],NS(=O)(=O)[*:2]
DPC0170,DEMO-104-A1,Mosaic Medicines,6.18,c1cc([*:2])ccc1[*:1],CN[*:1],FC(F)(F)O[*:2]
DPC0174,DEMO-104-A1,Mosaic Medicines,6.37,c1cc([*:2])ccc1[*:1],CN[*:1],O[*:2]
DPC0175,DEMO-104-A1,Mosaic Medicines,6.4,c1cc([*:2])ccc1[*:1],CN[*:1],O=C(O)[*:2]
DPC0176,DEMO-104-A1,Mosaic Medicines,6.54,c1cc([*:2])ccc1[*:1],CN(C)[*:1],CN(C)[*:2]
DPC0177,DEMO-104-A1,Mosaic Medicines,6.48,c1cc([*:2])ccc1[*:1],CN(C)[*:1],N#C[*:2]
DPC0178,DEMO-104-A1,Mosaic Medicines,6.31,c1cc([*:2])ccc1[*:1],CN(C)[*:1],FC(F)(F)[*:2]
DPC0179,DEMO-104-A1,Mosaic Medicines,6.23,c1cc([*:2])ccc1[*:1],CN(C)[*:1],NC(=O)[*:2]
DPC0180,DEMO-104-A1,Mosaic Medicines,6.35,c1cc([*:2])ccc1[*:1],CN(C)[*:1],CNC(=O)[*:2]
DPC0181,DEMO-104-A1,Mosaic Medicines,6.34,c1cc([*:2])ccc1[*:1],CN(C)[*:1],NS(=O)(=O)[*:2]
DPC0182,DEMO-104-A1,Mosaic Medicines,6.45,c1cc([*:2])ccc1[*:1],CN(C)[*:1],FC(F)(F)O[*:2]
DPC0186,DEMO-104-A1,Mosaic Medicines,6.03,c1cc([*:2])ccc1[*:1],CN(C)[*:1],O[*:2]
DPC0187,DEMO-104-A1,Mosaic Medicines,6.04,c1cc([*:2])ccc1[*:1],CN(C)[*:1],O=C(O)[*:2]
DPC0188,DEMO-104-A1,Mosaic Medicines,6.41,c1cc([*:2])ccc1[*:1],N#C[*:1],N#C[*:2]
DPC0189,DEMO-104-A1,Mosaic Medicines,6.47,c1cc([*:2])ccc1[*:1],FC(F)(F)[*:1],N#C[*:2]
DPC0190,DEMO-104-A1,Mosaic Medicines,6.57,c1cc([*:2])ccc1[*:1],NC(=O)[*:1],N#C[*:2]
DPC0191,DEMO-104-A1,Mosaic Medicines,6.74,c1cc([*:2])ccc1[*:1],CNC(=O)[*:1],N#C[*:2]
DPC0192,DEMO-104-A1,Mosaic Medicines,6.65,c1cc([*:2])ccc1[*:1],NS(=O)(=O)[*:1],N#C[*:2]
DPC0193,DEMO-104-A1,Mosaic Medicines,6.61,c1cc([*:2])ccc1[*:1],FC(F)(F)O[*:1],N#C[*:2]
DPC0197,DEMO-104-A1,Mosaic Medicines,6.25,c1cc([*:2])ccc1[*:1],O[*:1],N#C[*:2]
DPC0198,DEMO-104-A1,Mosaic Medicines,6.4,c1cc([*:2])ccc1[*:1],O=C(O)[*:1],N#C[*:2]
DPC0199,DEMO-104-A1,Mosaic Medicines,6.62,c1cc([*:2])ccc1[*:1],FC(F)(F)[*:1],FC(F)(F)[*:2]
DPC0200,DEMO-104-A1,Mosaic Medicines,6.6,c1cc([*:2])ccc1[*:1],NC(=O)[*:1],FC(F)(F)[*:2]
DPC0201,DEMO-104-A1,Mosaic Medicines,6.61,c1cc([*:2])ccc1[*:1],CNC(=O)[*:1],FC(F)(F)[*:2]
DPC0202,DEMO-104-A1,Mosaic Medicines,6.38,c1cc([*:2])ccc1[*:1],NS(=O)(=O)[*:1],FC(F)(F)[*:2]
DPC0203,DEMO-104-A1,Mosaic Medicines,6.26,c1cc([*:2])ccc1[*:1],FC(F)(F)O[*:1],FC(F)(F)[*:2]
DPC0207,DEMO-104-A1,Mosaic Medicines,,c1cc([*:2])ccc1[*:1],O[*:1],FC(F)(F)[*:2]
DPC0208,DEMO-104-A1,Mosaic Medicines,6.36,c1cc([*:2])ccc1[*:1],O=C(O)[*:1],FC(F)(F)[*:2]
DPC0209,DEMO-104-A1,Mosaic Medicines,6.49,c1cc([*:2])ccc1[*:1],NC(=O)[*:1],NC(=O)[*:2]
DPC0210,DEMO-104-A1,Mosaic Medicines,6.51,c1cc([*:2])ccc1[*:1],NC(=O)[*:1],CNC(=O)[*:2]
DPC0211,DEMO-104-A1,Mosaic Medicines,6.31,c1cc([*:2])ccc1[*:1],NC(=O)[*:1],NS(=O)(=O)[*:2]
DPC0212,DEMO-104-A1,Mosaic Medicines,6.24,c1cc([*:2])ccc1[*:1],NC(=O)[*:1],FC(F)(F)O[*:2]
DPC0216,DEMO-104-A1,Mosaic Medicines,6.35,c1cc([*:2])ccc1[*:1],NC(=O)[*:1],O[*:2]
