standardized_smiles,compound_id,n_measurements,mean,median,std,mad,minimum,maximum,range,ci95_lower,ci95_upper,replicate_disagreement,source_rows
CCOc1ccc(N2CCOCC2)cc1,DPC0144,1,6.17,6.17,,0.0,6.17,6.17,0.0,,,False,144
CCOc1ccc(NC)cc1,DPC0136,1,5.98,5.98,,0.0,5.98,5.98,0.0,,,False,136
CCOc1ccc(O)cc1,DPC0147,1,6.11,6.11,,0.0,6.11,6.11,0.0,,,False,147
CCOc1ccc(OC(F)(F)F)cc1,DPC0143,1,6.0,6.0,,0.0,6.0,6.0,0.0,,,False,143
CCOc1ccc(OC)cc1,DPC0119,1,5.88,5.88,,0.0,5.88,5.88,0.0,,,False,119
CCOc1ccc(OCC)cc1,DPC0134,1,6.13,6.13,,0.0,6.13,6.13,0.0,,,False,134
CCOc1ccc(S(N)(=O)=O)cc1,DPC0142,1,6.09,6.09,,0.0,6.09,6.09,0.0,,,False,142
CCc1ccc(C#N)cc1,DPC0090,1,6.12,6.12,,0.0,6.12,6.12,0.0,,,False,90
CCc1ccc(C(=O)NC)cc1,DPC0093,1,5.81,5.81,,0.0,5.81,5.81,0.0,,,False,93
CCc1ccc(C(=O)O)cc1,DPC0100,1,5.61,5.61,,0.0,5.61,5.61,0.0,,,False,100
CCc1ccc(C(F)(F)F)cc1,DPC0091,1,5.92,5.92,,0.0,5.92,5.92,0.0,,,False,91
CCc1ccc(C)cc1,DPC0065,1,5.7,5.7,,0.0,5.7,5.7,0.0,,,False,65
CCc1ccc(C2CC2)cc1,DPC0097,1,5.9,5.9,,0.0,5.9,5.9,0.0,,,False,97
CCc1ccc(C2CCCCC2)cc1,DPC0098,1,5.96,5.96,,0.0,5.96,5.96,0.0,,,False,98
CCc1ccc(CC)cc1,DPC0083,1,5.66,5.66,,0.0,5.66,5.66,0.0,,,False,83
CCc1ccc(Cl)cc1,DPC0026,1,5.64,5.64,,0.0,5.64,5.64,0.0,,,False,26
CCc1ccc(F)cc1,DPC0005,2,5.63,5.63,0.3394112549695431,0.2400000000000002,5.39,5.87,0.4800000000000004,5.159599999999999,6.1004000000000005,False,5 | 239
CCc1ccc(N(C)C)cc1,DPC0089,1,6.16,6.16,,0.0,6.16,6.16,0.0,,,False,89
CCc1ccc(N)cc1,DPC0087,1,5.98,5.98,,0.0,5.98,5.98,0.0,,,False,87
CCc1ccc(N2CCOCC2)cc1,DPC0096,1,6.18,6.18,,0.0,6.18,6.18,0.0,,,False,96
CCc1ccc(NC)cc1,DPC0088,1,6.11,6.11,,0.0,6.11,6.11,0.0,,,False,88
CCc1ccc(O)cc1,DPC0099,1,5.66,5.66,,0.0,5.66,5.66,0.0,,,False,99
CCc1ccc(OC(F)(F)F)cc1,DPC0095,1,5.88,5.88,,0.0,5.88,5.88,0.0,,,False,95
CCc1ccc(OC)cc1,DPC0085,1,5.78,5.78,,0.0,5.78,5.78,0.0,,,False,85
CCc1ccc(S(N)(=O)=O)cc1,DPC0094,1,5.76,5.76,,0.0,5.76,5.76,0.0,,,False,94
CN(C)c1ccc(Br)cc1,DPC0052,1,5.74,5.74,,0.0,5.74,5.74,0.0,,,False,52
CN(C)c1ccc(C#N)cc1,DPC0177,1,6.48,6.48,,0.0,6.48,6.48,0.0,,,False,177
CN(C)c1ccc(C(=O)O)cc1,DPC0187,1,6.04,6.04,,0.0,6.04,6.04,0.0,,,False,187
CN(C)c1ccc(C(F)(F)F)cc1,DPC0178,1,6.31,6.31,,0.0,6.31,6.31,0.0,,,False,178
CN(C)c1ccc(C(N)=O)cc1,DPC0179,1,6.23,6.23,,0.0,6.23,6.23,0.0,,,False,179
CN(C)c1ccc(Cl)cc1,DPC0032,1,5.54,5.54,,0.0,5.54,5.54,0.0,,,False,32
CN(C)c1ccc(F)cc1,DPC0011,1,5.75,5.75,,0.0,5.75,5.75,0.0,,,False,11
CN(C)c1ccc(N(C)C)cc1,DPC0176,1,6.54,6.54,,0.0,6.54,6.54,0.0,,,False,176
CN(C)c1ccc(N)cc1,DPC0151,1,6.16,6.16,,0.0,6.16,6.16,0.0,,,False,151
CN(C)c1ccc(N2CCOCC2)cc1,DPC0183,1,6.68,6.68,,0.0,6.68,6.68,0.0,,,False,183
CN(C)c1ccc(O)cc1,DPC0186,1,6.03,6.03,,0.0,6.03,6.03,0.0,,,False,186
CN(C)c1ccc(OC(F)(F)F)cc1,DPC0182,1,6.45,6.45,,0.0,6.45,6.45,0.0,,,False,182
CN(C)c1ccc(S(N)(=O)=O)cc1,DPC0181,1,6.34,6.34,,0.0,6.34,6.34,0.0,,,False,181
CNC(=O)c1ccc(Br)cc1,DPC0056,2,5.94,5.94,0.05656854249492385,0.040000000000000036,5.9,5.98,0.08000000000000007,5.8616,6.018400000000001,False,56 | 218
CNC(=O)c1ccc(C#N)cc1,DPC0191,1,6.74,6.74,,0.0,6.74,6.74,0.0,,,False,191
CNC(=O)c1ccc(C(F)(F)F)cc1,DPC0201,1,6.61,6.61,,0.0,6.61,6.61,0.0,,,False,201
CNC(=O)c1ccc(C(N)=O)cc1,DPC0210,1,6.51,6.51,,0.0,6.51,6.51,0.0,,,False,210
CNC(=O)c1ccc(C)cc1,DPC0075,1,5.67,5.67,,0.0,5.67,5.67,0.0,,,False,75
CNC(=O)c1ccc(Cl)cc1,DPC0036,1,5.94,5.94,,0.0,5.94,5.94,0.0,,,False,36
CNC(=O)c1ccc(F)cc1,DPC0015,1,5.5,5.5,,0.0,5.5,5.5,0.0,,,False,15
CNC(=O)c1ccc(N(C)C)cc1,DPC0180,1,6.35,6.35,,0.0,6.35,6.35,0.0,,,False,180
CNC(=O)c1ccc(N)cc1,DPC0155,1,6.22,6.22,,0.0,6.22,6.22,0.0,,,False,155
CNC(=O)c1ccc(NC)cc1,DPC0168,2,6.43,6.43,0.08485281374238578,0.06000000000000005,6.37,6.49,0.1200000000000001,6.312399999999999,6.5476,False,168 | 234
CNC(=O)c1ccc(OC)cc1,DPC0126,1,6.11,6.11,,0.0,6.11,6.11,0.0,,,False,126
CNc1ccc(Br)cc1,DPC0051,1,5.55,5.55,,0.0,5.55,5.55,0.0,,,False,51
CNc1ccc(C#N)cc1,DPC0165,2,6.305,6.305,0.30405591591021525,0.21499999999999986,6.09,6.52,0.4299999999999997,5.8836,6.726399999999999,False,165 | 231
CNc1ccc(C(=O)O)cc1,DPC0175,1,6.4,6.4,,0.0,6.4,6.4,0.0,,,False,175
CNc1ccc(C(F)(F)F)cc1,DPC0166,2,6.33,6.33,0.2262741699796954,0.16000000000000014,6.17,6.49,0.3200000000000003,6.0164,6.6436,False,166 | 232
CNc1ccc(C(N)=O)cc1,DPC0167,2,6.35,6.35,0.07071067811865513,0.050000000000000266,6.3,6.4,0.10000000000000053,6.251999999999999,6.448,False,167 | 233
CNc1ccc(C)cc1,DPC0070,1,5.93,5.93,,0.0,5.93,5.93,0.0,,,False,70
CNc1ccc(C2CC2)cc1,DPC0172,1,6.27,6.27,,0.0,6.27,6.27,0.0,,,False,172
CNc1ccc(C2CCCCC2)cc1,DPC0173,1,6.51,6.51,,0.0,6.51,6.51,0.0,,,False,173
CNc1ccc(Cl)cc1,DPC0031,1,5.54,5.54,,0.0,5.54,5.54,0.0,,,False,31
CNc1ccc(F)cc1,DPC0010,1,5.65,5.65,,0.0,5.65,5.65,0.0,,,False,10
CNc1ccc(N(C)C)cc1,DPC0164,1,6.33,6.33,,0.0,6.33,6.33,0.0,,,False,164
CNc1ccc(N)cc1,DPC0150,1,6.2,6.2,,0.0,6.2,6.2,0.0,,,False,150
CNc1ccc(N2CCOCC2)cc1,DPC0171,1,6.45,6.45,,0.0,6.45,6.45,0.0,,,False,171
CNc1ccc(NC)cc1,DPC0163,2,6.01,6.01,0.16970562748477155,0.1200000000000001,5.89,6.13,0.2400000000000002,5.7748,6.2452,False,163 | 229
CNc1ccc(O)cc1,DPC0174,1,6.37,6.37,,0.0,6.37,6.37,0.0,,,False,174
CNc1ccc(OC(F)(F)F)cc1,DPC0170,1,6.18,6.18,,0.0,6.18,6.18,0.0,,,False,170
CNc1ccc(OC)cc1,DPC0121,1,6.08,6.08,,0.0,6.08,6.08,0.0,,,False,121
CNc1ccc(S(N)(=O)=O)cc1,DPC0169,1,6.18,6.18,,0.0,6.18,6.18,0.0,,,False,169
COc1ccc(Br)cc1,DPC0048,1,5.58,5.58,,0.0,5.58,5.58,0.0,,,False,48
COc1ccc(C#N)cc1,DPC0123,1,6.38,6.38,,0.0,6.38,6.38,0.0,,,False,123
COc1ccc(C(=O)O)cc1,DPC0133,1,6.1,6.1,,0.0,6.1,6.1,0.0,,,False,133
COc1ccc(C(F)(F)F)cc1,DPC0124,1,6.27,6.27,,0.0,6.27,6.27,0.0,,,False,124
COc1ccc(C(N)=O)cc1,DPC0125,1,6.13,6.13,,0.0,6.13,6.13,0.0,,,False,125
COc1ccc(C)cc1,DPC0067,1,5.65,5.65,,0.0,5.65,5.65,0.0,,,False,67
COc1ccc(C2CC2)cc1,DPC0130,1,6.21,6.21,,0.0,6.21,6.21,0.0,,,False,130
COc1ccc(C2CCCCC2)cc1,DPC0131,1,6.39,6.39,,0.0,6.39,6.39,0.0,,,False,131
COc1ccc(Cl)cc1,DPC0028,1,5.82,5.82,,0.0,5.82,5.82,0.0,,,False,28
COc1ccc(F)cc1,DPC0007,1,5.35,5.35,,0.0,5.35,5.35,0.0,,,False,7
COc1ccc(N(C)C)cc1,DPC0122,1,6.27,6.27,,0.0,6.27,6.27,0.0,,,False,122
COc1ccc(N)cc1,DPC0120,1,5.87,5.87,,0.0,5.87,5.87,0.0,,,False,120
COc1ccc(N2CCOCC2)cc1,DPC0129,1,6.39,6.39,,0.0,6.39,6.39,0.0,,,False,129
COc1ccc(O)cc1,DPC0132,1,6.16,6.16,,0.0,6.16,6.16,0.0,,,False,132
COc1ccc(OC(F)(F)F)cc1,DPC0128,1,6.06,6.06,,0.0,6.06,6.06,0.0,,,False,128
COc1ccc(OC)cc1,DPC0118,1,5.81,5.81,,0.0,5.81,5.81,0.0,,,False,118
COc1ccc(S(N)(=O)=O)cc1,DPC0127,1,5.98,5.98,,0.0,5.98,5.98,0.0,,,False,127
Cc1ccc(Br)cc1,DPC0045,1,5.72,5.72,,0.0,5.72,5.72,0.0,,,False,45
Cc1ccc(C#N)cc1,DPC0072,1,6.04,6.04,,0.0,6.04,6.04,0.0,,,False,72
Cc1ccc(C(=O)O)cc1,DPC0082,1,5.69,5.69,,0.0,5.69,5.69,0.0,,,False,82
Cc1ccc(C(F)(F)F)cc1,DPC0073,1,5.86,5.86,,0.0,5.86,5.86,0.0,,,False,73
Cc1ccc(C)cc1,DPC0064,1,5.73,5.73,,0.0,5.73,5.73,0.0,,,False,64
Cc1ccc(C2CC2)cc1,DPC0079,1,5.83,5.83,,0.0,5.83,5.83,0.0,,,False,79
Cc1ccc(C2CCCCC2)cc1,DPC0080,1,5.99,5.99,,0.0,5.99,5.99,0.0,,,False,80
Cc1ccc(Cl)cc1,DPC0025,1,5.46,5.46,,0.0,5.46,5.46,0.0,,,False,25
Cc1ccc(F)cc1,DPC0004,2,5.62,5.62,0.24041630560342606,0.16999999999999993,5.45,5.79,0.33999999999999986,5.2868,5.9532,False,4 | 238
Cc1ccc(N(C)C)cc1,DPC0071,1,6.03,6.03,,0.0,6.03,6.03,0.0,,,False,71
Cc1ccc(N2CCOCC2)cc1,DPC0078,1,6.03,6.03,,0.0,6.03,6.03,0.0,,,False,78
Cc1ccc(O)cc1,DPC0081,1,5.73,5.73,,0.0,5.73,5.73,0.0,,,False,81
Cc1ccc(OC(F)(F)F)cc1,DPC0077,1,5.69,5.69,,0.0,5.69,5.69,0.0,,,False,77
Cc1ccc(S(N)(=O)=O)cc1,DPC0076,1,5.57,5.57,,0.0,5.57,5.57,0.0,,,False,76
Clc1ccc(Br)cc1,DPC0024,1,5.48,5.48,,0.0,5.48,5.48,0.0,,,False,24
Clc1ccc(C2CC2)cc1,DPC0040,1,5.56,5.56,,0.0,5.56,5.56,0.0,,,False,40
Clc1ccc(C2CCCCC2)cc1,DPC0041,1,5.66,5.66,,0.0,5.66,5.66,0.0,,,False,41
Clc1ccc(N2CCOCC2)cc1,DPC0039,1,5.94,5.94,,0.0,5.94,5.94,0.0,,,False,39
FC(F)(F)Oc1ccc(Br)cc1,DPC0058,2,5.695,5.695,0.007071067811865324,0.004999999999999893,5.69,5.7,0.009999999999999787,5.685200000000001,5.7048,False,58 | 220
FC(F)(F)Oc1ccc(C(F)(F)F)cc1,DPC0203,1,6.26,6.26,,0.0,6.26,6.26,0.0,,,False,203
FC(F)(F)Oc1ccc(Cl)cc1,DPC0038,1,5.83,5.83,,0.0,5.83,5.83,0.0,,,False,38
FC(F)(F)c1ccc(Br)cc1,DPC0054,1,5.87,5.87,,0.0,5.87,5.87,0.0,,,False,54
FC(F)(F)c1ccc(C(F)(F)F)cc1,DPC0199,1,6.62,6.62,,0.0,6.62,6.62,0.0,,,False,199
FC(F)(F)c1ccc(C2CC2)cc1,DPC0205,1,6.08,6.08,,0.0,6.08,6.08,0.0,,,False,205
FC(F)(F)c1ccc(C2CCCCC2)cc1,DPC0206,1,6.28,6.28,,0.0,6.28,6.28,0.0,,,False,206
FC(F)(F)c1ccc(Cl)cc1,DPC0034,1,5.69,5.69,,0.0,5.69,5.69,0.0,,,False,34
FC(F)(F)c1ccc(N2CCOCC2)cc1,DPC0204,1,6.38,6.38,,0.0,6.38,6.38,0.0,,,False,204
Fc1ccc(Br)cc1,DPC0003,2,5.79,5.79,0.21213203435596475,0.15000000000000036,5.64,5.94,0.3000000000000007,5.4959999999999996,6.0840000000000005,False,3 | 237
Fc1ccc(C(F)(F)F)cc1,DPC0013,1,5.6,5.6,,0.0,5.6,5.6,0.0,,,False,13
Fc1ccc(C2CC2)cc1,DPC0019,1,5.74,5.74,,0.0,5.74,5.74,0.0,,,False,19
Fc1ccc(C2CCCCC2)cc1,DPC0020,1,5.86,5.86,,0.0,5.86,5.86,0.0,,,False,20
Fc1ccc(Cl)cc1,DPC0002,2,5.885,5.885,0.23334523779156074,0.16500000000000004,5.72,6.05,0.33000000000000007,5.561599999999999,6.2084,False,2 | 236
Fc1ccc(F)cc1,DPC0001,2,5.75,5.75,0.2969848480983499,0.20999999999999996,5.54,5.96,0.41999999999999993,5.3384,6.1616,False,1 | 235
Fc1ccc(N2CCOCC2)cc1,DPC0018,1,5.95,5.95,,0.0,5.95,5.95,0.0,,,False,18
Fc1ccc(OC(F)(F)F)cc1,DPC0017,1,5.6,5.6,,0.0,5.6,5.6,0.0,,,False,17
N#Cc1ccc(Br)cc1,DPC0053,1,5.91,5.91,,0.0,5.91,5.91,0.0,,,False,53
N#Cc1ccc(C#N)cc1,DPC0188,1,6.41,6.41,,0.0,6.41,6.41,0.0,,,False,188
N#Cc1ccc(C(=O)O)cc1,DPC0198,1,6.4,6.4,,0.0,6.4,6.4,0.0,,,False,198
N#Cc1ccc(C(F)(F)F)cc1,DPC0189,1,6.47,6.47,,0.0,6.47,6.47,0.0,,,False,189
N#Cc1ccc(C(N)=O)cc1,DPC0190,1,6.57,6.57,,0.0,6.57,6.57,0.0,,,False,190
N#Cc1ccc(C2CC2)cc1,DPC0195,1,6.31,6.31,,0.0,6.31,6.31,0.0,,,False,195
N#Cc1ccc(C2CCCCC2)cc1,DPC0196,1,6.4,6.4,,0.0,6.4,6.4,0.0,,,False,196
N#Cc1ccc(Cl)cc1,DPC0033,1,5.64,5.64,,0.0,5.64,5.64,0.0,,,False,33
N#Cc1ccc(F)cc1,DPC0012,1,5.77,5.77,,0.0,5.77,5.77,0.0,,,False,12
N#Cc1ccc(N)cc1,DPC0152,1,6.15,6.15,,0.0,6.15,6.15,0.0,,,False,152
N#Cc1ccc(N2CCOCC2)cc1,DPC0194,1,6.7,6.7,,0.0,6.7,6.7,0.0,,,False,194
N#Cc1ccc(O)cc1,DPC0197,1,6.25,6.25,,0.0,6.25,6.25,0.0,,,False,197
N#Cc1ccc(OC(F)(F)F)cc1,DPC0193,1,6.61,6.61,,0.0,6.61,6.61,0.0,,,False,193
N#Cc1ccc(S(N)(=O)=O)cc1,DPC0192,1,6.65,6.65,,0.0,6.65,6.65,0.0,,,False,192
NC(=O)c1ccc(Br)cc1,DPC0055,2,5.925000000000001,5.925000000000001,0.0212132034355966,0.015000000000000124,5.91,5.94,0.03000000000000025,5.895600000000001,5.954400000000001,False,55 | 217
NC(=O)c1ccc(C(F)(F)F)cc1,DPC0200,1,6.6,6.6,,0.0,6.6,6.6,0.0,,,False,200
NC(=O)c1ccc(C(N)=O)cc1,DPC0209,1,6.49,6.49,,0.0,6.49,6.49,0.0,,,False,209
NC(=O)c1ccc(C2CC2)cc1,DPC0214,1,6.19,6.19,,0.0,6.19,6.19,0.0,,,False,214
NC(=O)c1ccc(C2CCCCC2)cc1,DPC0215,1,6.43,6.43,,0.0,6.43,6.43,0.0,,,False,215
NC(=O)c1ccc(Cl)cc1,DPC0035,1,5.77,5.77,,0.0,5.77,5.77,0.0,,,False,35
NC(=O)c1ccc(F)cc1,DPC0014,1,5.46,5.46,,0.0,5.46,5.46,0.0,,,False,14
NC(=O)c1ccc(N)cc1,DPC0154,1,6.06,6.06,,0.0,6.06,6.06,0.0,,,False,154
NC(=O)c1ccc(N2CCOCC2)cc1,DPC0213,1,6.43,6.43,,0.0,6.43,6.43,0.0,,,False,213
NC(=O)c1ccc(O)cc1,DPC0216,1,6.35,6.35,,0.0,6.35,6.35,0.0,,,False,216
NC(=O)c1ccc(OC(F)(F)F)cc1,DPC0212,1,6.24,6.24,,0.0,6.24,6.24,0.0,,,False,212
NC(=O)c1ccc(S(N)(=O)=O)cc1,DPC0211,1,6.31,6.31,,0.0,6.31,6.31,0.0,,,False,211
NS(=O)(=O)c1ccc(Br)cc1,DPC0057,2,5.75,5.75,0.0707106781186545,0.04999999999999982,5.7,5.8,0.09999999999999964,5.652,5.848,False,57 | 219
NS(=O)(=O)c1ccc(C(F)(F)F)cc1,DPC0202,1,6.38,6.38,,0.0,6.38,6.38,0.0,,,False,202
NS(=O)(=O)c1ccc(F)cc1,DPC0016,1,5.45,5.45,,0.0,5.45,5.45,0.0,,,False,16
Nc1ccc(Br)cc1,DPC0050,1,5.41,5.41,,0.0,5.41,5.41,0.0,,,False,50
Nc1ccc(C(=O)O)cc1,DPC0162,1,5.73,5.73,,0.0,5.73,5.73,0.0,,,False,162
Nc1ccc(C(F)(F)F)cc1,DPC0153,1,6.06,6.06,,0.0,6.06,6.06,0.0,,,False,153
Nc1ccc(C2CC2)cc1,DPC0159,1,5.98,5.98,,0.0,5.98,5.98,0.0,,,False,159
Nc1ccc(C2CCCCC2)cc1,DPC0160,1,5.96,5.96,,0.0,5.96,5.96,0.0,,,False,160
Nc1ccc(Cl)cc1,DPC0030,1,5.59,5.59,,0.0,5.59,5.59,0.0,,,False,30
Nc1ccc(F)cc1,DPC0009,1,5.48,5.48,,0.0,5.48,5.48,0.0,,,False,9
Nc1ccc(N)cc1,DPC0149,1,6.18,6.18,,0.0,6.18,6.18,0.0,,,False,149
Nc1ccc(N2CCOCC2)cc1,DPC0158,1,6.4,6.4,,0.0,6.4,6.4,0.0,,,False,158
Nc1ccc(OC(F)(F)F)cc1,DPC0157,1,6.25,6.25,,0.0,6.25,6.25,0.0,,,False,157
Nc1ccc(S(N)(=O)=O)cc1,DPC0156,1,6.2,6.2,,0.0,6.2,6.2,0.0,,,False,156
O=C(O)c1ccc(Br)cc1,DPC0063,1,5.99,5.99,,0.0,5.99,5.99,0.0,,,False,63
O=C(O)c1ccc(C(F)(F)F)cc1,DPC0208,1,6.36,6.36,,0.0,6.36,6.36,0.0,,,False,208
O=C(O)c1ccc(Cl)cc1,DPC0043,1,5.7,5.7,,0.0,5.7,5.7,0.0,,,False,43
O=C(O)c1ccc(F)cc1,DPC0022,1,5.51,5.51,,0.0,5.51,5.51,0.0,,,False,22
Oc1ccc(Br)cc1,DPC0062,1,5.93,5.93,,0.0,5.93,5.93,0.0,,,False,62
Oc1ccc(Cl)cc1,DPC0042,1,5.53,5.53,,0.0,5.53,5.53,0.0,,,False,42
Oc1ccc(F)cc1,DPC0021,1,5.58,5.58,,0.0,5.58,5.58,0.0,,,False,21
