compound_id,smiles,patent_id,assignee,publication_date,year,series,assay_id,standard_relation,pIC50,project_note,source_row,raw_smiles,standardized_smiles,status,duplicate_group_size,source_rows,patent_ids,assignees,molecular_weight,clogp,tpsa,hbd,hba,rotatable_bonds,heavy_atoms,rings,pIC50_median,n_measurements,murcko_scaffold,scaffold_id,cluster_id
DPC0011,CN(C)c1ccc(F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-12,=,5.75,primary measurement,11,CN(C)c1ccc(F)cc1,CN(C)c1ccc(F)cc1,accepted,1,11,DEMO-101-A1,Northstar Therapeutics,139.173,1.892,3.24,0,1,1,10,1,5.75,1.0,c1ccccc1,S001,C007
DPC0012,N#Cc1ccc(F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-01,=,5.77,primary measurement,12,N#Cc1ccc(F)cc1,N#Cc1ccc(F)cc1,accepted,1,12,DEMO-101-A1,Northstar Therapeutics,121.114,1.697,23.79,0,1,0,9,1,5.77,1.0,c1ccccc1,S001,C009
DPC0013,Fc1ccc(C(F)(F)F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-02,=,5.6,primary measurement,13,Fc1ccc(C(F)(F)F)cc1,Fc1ccc(C(F)(F)F)cc1,accepted,1,13,DEMO-101-A1,Northstar Therapeutics,164.101,2.845,0.0,0,0,0,11,1,5.6,1.0,c1ccccc1,S001,C006
DPC0014,NC(=O)c1ccc(F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-03,=,5.46,primary measurement,14,NC(=O)c1ccc(F)cc1,NC(=O)c1ccc(F)cc1,accepted,1,14,DEMO-101-A1,Northstar Therapeutics,139.129,0.925,43.09,1,1,1,10,1,5.46,1.0,c1ccccc1,S001,C003
DPC0015,CNC(=O)c1ccc(F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-04,=,5.5,primary measurement,15,CNC(=O)c1ccc(F)cc1,CNC(=O)c1ccc(F)cc1,accepted,1,15,DEMO-101-A1,Northstar Therapeutics,153.156,1.185,29.1,1,1,1,11,1,5.5,1.0,c1ccccc1,S001,C010
DPC0016,NS(=O)(=O)c1ccc(F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-05,=,5.45,primary measurement,16,NS(=O)(=O)c1ccc(F)cc1,NS(=O)(=O)c1ccc(F)cc1,accepted,1,16,DEMO-101-A1,Northstar Therapeutics,175.184,0.473,60.16,1,2,1,11,1,5.45,1.0,c1ccccc1,S001,C014
DPC0017,Fc1ccc(OC(F)(F)F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-06,=,5.6,primary measurement,17,Fc1ccc(OC(F)(F)F)cc1,Fc1ccc(OC(F)(F)F)cc1,accepted,1,17,DEMO-101-A1,Northstar Therapeutics,180.1,2.724,9.23,0,1,1,12,1,5.6,1.0,c1ccccc1,S001,C013
DPC0018,Fc1ccc(N2CCOCC2)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-07,=,5.95,primary measurement,18,Fc1ccc(N2CCOCC2)cc1,Fc1ccc(N2CCOCC2)cc1,accepted,1,18,DEMO-101-A1,Northstar Therapeutics,181.21,1.662,12.47,0,2,1,13,2,5.95,1.0,c1ccc(N2CCOCC2)cc1,S002,C011
DPC0019,Fc1ccc(C2CC2)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-08,=,5.74,primary measurement,19,Fc1ccc(C2CC2)cc1,Fc1ccc(C2CC2)cc1,accepted,1,19,DEMO-101-A1,Northstar Therapeutics,136.169,2.703,0.0,0,0,1,10,2,5.74,1.0,c1ccc(C2CC2)cc1,S003,C038
DPC0020,Fc1ccc(C2CCCCC2)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-09,=,5.86,primary measurement,20,Fc1ccc(C2CCCCC2)cc1,Fc1ccc(C2CCCCC2)cc1,accepted,1,20,DEMO-101-A1,Northstar Therapeutics,178.25,3.873,0.0,0,0,1,13,2,5.86,1.0,c1ccc(C2CCCCC2)cc1,S004,C012
DPC0021,Oc1ccc(F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-10,=,5.58,primary measurement,21,Oc1ccc(F)cc1,Oc1ccc(F)cc1,accepted,1,21,DEMO-101-A1,Northstar Therapeutics,112.103,1.531,20.23,1,1,0,8,1,5.58,1.0,c1ccccc1,S001,C020
DPC0022,O=C(O)c1ccc(F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-11,=,5.51,primary measurement,22,O=C(O)c1ccc(F)cc1,O=C(O)c1ccc(F)cc1,accepted,1,22,DEMO-101-A1,Northstar Therapeutics,140.113,1.524,37.3,1,1,1,10,1,5.51,1.0,c1ccccc1,S001,C037
DPC0023,Clc1ccc(Cl)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-12,<,5.53,primary measurement,23,Clc1ccc(Cl)cc1,Clc1ccc(Cl)cc1,accepted,1,23,DEMO-101-A1,Northstar Therapeutics,147.004,2.993,0.0,0,0,0,8,1,,,c1ccccc1,S001,C019
DPC0024,Clc1ccc(Br)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-01,=,5.48,primary measurement,24,Clc1ccc(Br)cc1,Clc1ccc(Br)cc1,accepted,1,24,DEMO-101-A1,Northstar Therapeutics,191.455,3.103,0.0,0,0,0,8,1,5.48,1.0,c1ccccc1,S001,C018
DPC0025,Cc1ccc(Cl)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-02,=,5.46,primary measurement,25,Cc1ccc(Cl)cc1,Cc1ccc(Cl)cc1,accepted,1,25,DEMO-101-A1,Northstar Therapeutics,126.586,2.648,0.0,0,0,0,8,1,5.46,1.0,c1ccccc1,S001,C017
DPC0026,CCc1ccc(Cl)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-03,=,5.64,primary measurement,26,CCc1ccc(Cl)cc1,CCc1ccc(Cl)cc1,accepted,1,26,DEMO-101-A1,Northstar Therapeutics,140.613,2.902,0.0,0,0,1,9,1,5.64,1.0,c1ccccc1,S001,C005
DPC0027,CCCc1ccc(Cl)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-04,=,5.67,primary measurement,27,CCCc1ccc(Cl)cc1,CCCc1ccc(Cl)cc1,accepted,1,27,DEMO-101-A1,Northstar Therapeutics,154.64,3.293,0.0,0,0,2,10,1,5.67,1.0,c1ccccc1,S001,C002
DPC0028,COc1ccc(Cl)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-05,=,5.82,primary measurement,28,COc1ccc(Cl)cc1,COc1ccc(Cl)cc1,accepted,1,28,DEMO-101-A1,Northstar Therapeutics,142.585,2.349,9.23,0,1,1,9,1,5.82,1.0,c1ccccc1,S001,C004
DPC0029,CCOc1ccc(Cl)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-06,=,5.81,primary measurement,29,CCOc1ccc(Cl)cc1,CCOc1ccc(Cl)cc1,accepted,1,29,DEMO-101-A1,Northstar Therapeutics,156.612,2.739,9.23,0,1,2,10,1,5.81,1.0,c1ccccc1,S001,C001
DPC0030,Nc1ccc(Cl)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-07,=,5.59,primary measurement,30,Nc1ccc(Cl)cc1,Nc1ccc(Cl)cc1,accepted,1,30,DEMO-101-A1,Northstar Therapeutics,127.574,1.922,26.02,1,1,0,8,1,5.59,1.0,c1ccccc1,S001,C015
DPC0031,CNc1ccc(Cl)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-08,=,5.54,primary measurement,31,CNc1ccc(Cl)cc1,CNc1ccc(Cl)cc1,accepted,1,31,DEMO-101-A1,Northstar Therapeutics,141.601,2.382,12.03,1,1,1,9,1,5.54,1.0,c1ccccc1,S001,C008
DPC0032,CN(C)c1ccc(Cl)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-09,=,5.54,primary measurement,32,CN(C)c1ccc(Cl)cc1,CN(C)c1ccc(Cl)cc1,accepted,1,32,DEMO-101-A1,Northstar Therapeutics,155.628,2.406,3.24,0,1,1,10,1,5.54,1.0,c1ccccc1,S001,C007
DPC0033,N#Cc1ccc(Cl)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-10,=,5.64,primary measurement,33,N#Cc1ccc(Cl)cc1,N#Cc1ccc(Cl)cc1,accepted,1,33,DEMO-101-A1,Northstar Therapeutics,137.569,2.212,23.79,0,1,0,9,1,5.64,1.0,c1ccccc1,S001,C009
DPC0034,FC(F)(F)c1ccc(Cl)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-11,=,5.69,primary measurement,34,FC(F)(F)c1ccc(Cl)cc1,FC(F)(F)c1ccc(Cl)cc1,accepted,1,34,DEMO-101-A1,Northstar Therapeutics,180.556,3.359,0.0,0,0,0,11,1,5.69,1.0,c1ccccc1,S001,C006
DPC0035,NC(=O)c1ccc(Cl)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-12,=,5.77,primary measurement,35,NC(=O)c1ccc(Cl)cc1,NC(=O)c1ccc(Cl)cc1,accepted,1,35,DEMO-101-A1,Northstar Therapeutics,155.584,1.439,43.09,1,1,1,10,1,5.77,1.0,c1ccccc1,S001,C003
DPC0036,CNC(=O)c1ccc(Cl)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-01,=,5.94,primary measurement,36,CNC(=O)c1ccc(Cl)cc1,CNC(=O)c1ccc(Cl)cc1,accepted,1,36,DEMO-101-A1,Northstar Therapeutics,169.611,1.7,29.1,1,1,1,11,1,5.94,1.0,c1ccccc1,S001,C010
DPC0037,NS(=O)(=O)c1ccc(Cl)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-02,>,5.86,primary measurement,37,NS(=O)(=O)c1ccc(Cl)cc1,NS(=O)(=O)c1ccc(Cl)cc1,accepted,1,37,DEMO-101-A1,Northstar Therapeutics,191.639,0.987,60.16,1,2,1,11,1,,,c1ccccc1,S001,C014
DPC0038,FC(F)(F)Oc1ccc(Cl)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-03,=,5.83,primary measurement,38,FC(F)(F)Oc1ccc(Cl)cc1,FC(F)(F)Oc1ccc(Cl)cc1,accepted,1,38,DEMO-101-A1,Northstar Therapeutics,196.555,3.239,9.23,0,1,1,12,1,5.83,1.0,c1ccccc1,S001,C013
DPC0039,Clc1ccc(N2CCOCC2)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-04,=,5.94,primary measurement,39,Clc1ccc(N2CCOCC2)cc1,Clc1ccc(N2CCOCC2)cc1,accepted,1,39,DEMO-101-A1,Northstar Therapeutics,197.665,2.177,12.47,0,2,1,13,2,5.94,1.0,c1ccc(N2CCOCC2)cc1,S002,C011
DPC0040,Clc1ccc(C2CC2)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-05,=,5.56,primary measurement,40,Clc1ccc(C2CC2)cc1,Clc1ccc(C2CC2)cc1,accepted,1,40,DEMO-101-A1,Northstar Therapeutics,152.624,3.217,0.0,0,0,1,10,2,5.56,1.0,c1ccc(C2CC2)cc1,S003,C036
DPC0041,Clc1ccc(C2CCCCC2)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-06,=,5.66,primary measurement,41,Clc1ccc(C2CCCCC2)cc1,Clc1ccc(C2CCCCC2)cc1,accepted,1,41,DEMO-101-A1,Northstar Therapeutics,194.705,4.388,0.0,0,0,1,13,2,5.66,1.0,c1ccc(C2CCCCC2)cc1,S004,C012
DPC0042,Oc1ccc(Cl)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-07,=,5.53,primary measurement,42,Oc1ccc(Cl)cc1,Oc1ccc(Cl)cc1,accepted,1,42,DEMO-101-A1,Northstar Therapeutics,128.558,2.046,20.23,1,1,0,8,1,5.53,1.0,c1ccccc1,S001,C019
DPC0043,O=C(O)c1ccc(Cl)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-08,=,5.7,primary measurement,43,O=C(O)c1ccc(Cl)cc1,O=C(O)c1ccc(Cl)cc1,accepted,1,43,DEMO-101-A1,Northstar Therapeutics,156.568,2.038,37.3,1,1,1,10,1,5.7,1.0,c1ccccc1,S001,C035
DPC0044,Brc1ccc(Br)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-09,=,5.74,primary measurement,44,Brc1ccc(Br)cc1,Brc1ccc(Br)cc1,accepted,1,44,DEMO-101-A1,Northstar Therapeutics,235.906,3.212,0.0,0,0,0,8,1,5.74,1.0,c1ccccc1,S001,C018
DPC0045,Cc1ccc(Br)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-10,=,5.72,primary measurement,45,Cc1ccc(Br)cc1,Cc1ccc(Br)cc1,accepted,1,45,DEMO-101-A1,Northstar Therapeutics,171.037,2.758,0.0,0,0,0,8,1,5.72,1.0,c1ccccc1,S001,C017
DPC0046,CCc1ccc(Br)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-11,<,5.76,primary measurement,46,CCc1ccc(Br)cc1,CCc1ccc(Br)cc1,accepted,1,46,DEMO-101-A1,Northstar Therapeutics,185.064,3.012,0.0,0,0,1,9,1,,,c1ccccc1,S001,C005
DPC0047,CCCc1ccc(Br)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-12,=,5.59,primary measurement,47,CCCc1ccc(Br)cc1,CCCc1ccc(Br)cc1,accepted,1,47,DEMO-101-A1,Northstar Therapeutics,199.091,3.402,0.0,0,0,2,10,1,5.59,1.0,c1ccccc1,S001,C002
DPC0048,COc1ccc(Br)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-01,=,5.58,primary measurement,48,COc1ccc(Br)cc1,COc1ccc(Br)cc1,accepted,1,48,DEMO-101-A1,Northstar Therapeutics,187.036,2.458,9.23,0,1,1,9,1,5.58,1.0,c1ccccc1,S001,C004
DPC0049,CCOc1ccc(Br)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-02,=,5.53,primary measurement,49,CCOc1ccc(Br)cc1,CCOc1ccc(Br)cc1,accepted,1,49,DEMO-101-A1,Northstar Therapeutics,201.063,2.848,9.23,0,1,2,10,1,5.53,1.0,c1ccccc1,S001,C001
DPC0050,Nc1ccc(Br)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-03,=,5.41,primary measurement,50,Nc1ccc(Br)cc1,Nc1ccc(Br)cc1,accepted,1,50,DEMO-101-A1,Northstar Therapeutics,172.025,2.031,26.02,1,1,0,8,1,5.41,1.0,c1ccccc1,S001,C015
DPC0051,CNc1ccc(Br)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-04,=,5.55,primary measurement,51,CNc1ccc(Br)cc1,CNc1ccc(Br)cc1,accepted,1,51,DEMO-101-A1,Northstar Therapeutics,186.052,2.491,12.03,1,1,1,9,1,5.55,1.0,c1ccccc1,S001,C008
DPC0052,CN(C)c1ccc(Br)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-05,=,5.74,primary measurement,52,CN(C)c1ccc(Br)cc1,CN(C)c1ccc(Br)cc1,accepted,1,52,DEMO-101-A1,Northstar Therapeutics,200.079,2.515,3.24,0,1,1,10,1,5.74,1.0,c1ccccc1,S001,C007
DPC0053,N#Cc1ccc(Br)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-06,=,5.91,primary measurement,53,N#Cc1ccc(Br)cc1,N#Cc1ccc(Br)cc1,accepted,1,53,DEMO-101-A1,Northstar Therapeutics,182.02,2.321,23.79,0,1,0,9,1,5.91,1.0,c1ccccc1,S001,C009
DPC0054,FC(F)(F)c1ccc(Br)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-07,=,5.87,primary measurement,54,FC(F)(F)c1ccc(Br)cc1,FC(F)(F)c1ccc(Br)cc1,accepted,1,54,DEMO-101-A1,Northstar Therapeutics,225.007,3.468,0.0,0,0,0,11,1,5.87,1.0,c1ccccc1,S001,C006
DPC0055,NC(=O)c1ccc(Br)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-08,=,5.94,primary measurement,55,NC(=O)c1ccc(Br)cc1,NC(=O)c1ccc(Br)cc1,accepted,2,55 | 217,DEMO-101-A1 | DEMO-102-A1,Helixbridge Pharma | Northstar Therapeutics,200.035,1.548,43.09,1,1,1,10,1,5.925000000000001,2.0,c1ccccc1,S001,C003
DPC0056,CNC(=O)c1ccc(Br)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-09,=,5.9,primary measurement,56,CNC(=O)c1ccc(Br)cc1,CNC(=O)c1ccc(Br)cc1,accepted,2,56 | 218,DEMO-101-A1 | DEMO-102-A1,Helixbridge Pharma | Northstar Therapeutics,214.062,1.809,29.1,1,1,1,11,1,5.94,2.0,c1ccccc1,S001,C010
DPC0057,NS(=O)(=O)c1ccc(Br)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-10,=,5.7,primary measurement,57,NS(=O)(=O)c1ccc(Br)cc1,NS(=O)(=O)c1ccc(Br)cc1,accepted,2,57 | 219,DEMO-101-A1 | DEMO-102-A1,Helixbridge Pharma | Northstar Therapeutics,236.09,1.097,60.16,1,2,1,11,1,5.75,2.0,c1ccccc1,S001,C014
DPC0058,FC(F)(F)Oc1ccc(Br)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-11,=,5.69,primary measurement,58,FC(F)(F)Oc1ccc(Br)cc1,FC(F)(F)Oc1ccc(Br)cc1,accepted,2,58 | 220,DEMO-101-A1 | DEMO-102-A1,Helixbridge Pharma | Northstar Therapeutics,241.006,3.348,9.23,0,1,1,12,1,5.695,2.0,c1ccccc1,S001,C013
DPC0059,Brc1ccc(N2CCOCC2)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-12,=,5.95,primary measurement,59,Brc1ccc(N2CCOCC2)cc1,Brc1ccc(N2CCOCC2)cc1,accepted,2,59 | 221,DEMO-101-A1 | DEMO-102-A1,Helixbridge Pharma | Northstar Therapeutics,242.116,2.286,12.47,0,2,1,13,2,5.890000000000001,2.0,c1ccc(N2CCOCC2)cc1,S002,C011
DPC0060,Brc1ccc(C2CC2)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-01,=,5.78,primary measurement,60,Brc1ccc(C2CC2)cc1,Brc1ccc(C2CC2)cc1,accepted,2,60 | 222,DEMO-101-A1 | DEMO-102-A1,Helixbridge Pharma | Northstar Therapeutics,197.075,3.327,0.0,0,0,1,10,2,5.78,1.0,c1ccc(C2CC2)cc1,S003,C034
DPC0061,Brc1ccc(C2CCCCC2)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-02,=,6.04,primary measurement,61,Brc1ccc(C2CCCCC2)cc1,Brc1ccc(C2CCCCC2)cc1,accepted,1,61,DEMO-102-A1,Helixbridge Pharma,239.156,4.497,0.0,0,0,1,13,2,6.04,1.0,c1ccc(C2CCCCC2)cc1,S004,C012
DPC0062,Oc1ccc(Br)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-03,=,5.93,primary measurement,62,Oc1ccc(Br)cc1,Oc1ccc(Br)cc1,accepted,1,62,DEMO-102-A1,Helixbridge Pharma,173.009,2.155,20.23,1,1,0,8,1,5.93,1.0,c1ccccc1,S001,C018
DPC0063,O=C(O)c1ccc(Br)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-04,=,5.99,primary measurement,63,O=C(O)c1ccc(Br)cc1,O=C(O)c1ccc(Br)cc1,accepted,1,63,DEMO-102-A1,Helixbridge Pharma,201.019,2.147,37.3,1,1,1,10,1,5.99,1.0,c1ccccc1,S001,C033
DPC0064,Cc1ccc(C)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-05,=,5.73,primary measurement,64,Cc1ccc(C)cc1,Cc1ccc(C)cc1,accepted,1,64,DEMO-102-A1,Helixbridge Pharma,106.168,2.303,0.0,0,0,0,8,1,5.73,1.0,c1ccccc1,S001,C017
DPC0065,CCc1ccc(C)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-06,=,5.7,primary measurement,65,CCc1ccc(C)cc1,CCc1ccc(C)cc1,accepted,1,65,DEMO-102-A1,Helixbridge Pharma,120.195,2.557,0.0,0,0,1,9,1,5.7,1.0,c1ccccc1,S001,C005
DPC0066,CCCc1ccc(C)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-07,=,5.55,primary measurement,66,CCCc1ccc(C)cc1,CCCc1ccc(C)cc1,accepted,1,66,DEMO-102-A1,Helixbridge Pharma,134.222,2.948,0.0,0,0,2,10,1,5.55,1.0,c1ccccc1,S001,C002
DPC0067,COc1ccc(C)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-08,=,5.65,primary measurement,67,COc1ccc(C)cc1,COc1ccc(C)cc1,accepted,1,67,DEMO-102-A1,Helixbridge Pharma,122.167,2.004,9.23,0,1,1,9,1,5.65,1.0,c1ccccc1,S001,C004
DPC0068,CCOc1ccc(C)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-09,=,5.76,primary measurement,68,CCOc1ccc(C)cc1,CCOc1ccc(C)cc1,accepted,1,68,DEMO-102-A1,Helixbridge Pharma,136.194,2.394,9.23,0,1,2,10,1,5.76,1.0,c1ccccc1,S001,C001
DPC0069,Cc1ccc(N)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-10,<,5.76,primary measurement,69,Cc1ccc(N)cc1,Cc1ccc(N)cc1,accepted,1,69,DEMO-102-A1,Helixbridge Pharma,107.156,1.577,26.02,1,1,0,8,1,,,c1ccccc1,S001,C015
