compound_a,compound_b,shared_core,fragment_a,fragment_b,assignees_a,assignees_b,pIC50_median_a,pIC50_median_b,activity_delta_b_minus_a
DPC0001,DPC0018,Fc1ccc([*:1])cc1,F[*:1],C1CN([*:1])CCO1,Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.75,5.95,0.20000000000000018
DPC0001,DPC0019,Fc1ccc([*:1])cc1,F[*:1],C1CC1[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.75,5.74,-0.009999999999999787
DPC0001,DPC0020,Fc1ccc([*:1])cc1,F[*:1],C1CCC([*:1])CC1,Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.75,5.86,0.11000000000000032
DPC0001,DPC0021,Fc1ccc([*:1])cc1,F[*:1],O[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.75,5.58,-0.16999999999999993
DPC0001,DPC0022,Fc1ccc([*:1])cc1,F[*:1],O=C(O)[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.75,5.51,-0.2400000000000002
DPC0002,DPC0003,Fc1ccc([*:1])cc1,Cl[*:1],Br[*:1],Mosaic Medicines | Northstar Therapeutics,Mosaic Medicines | Northstar Therapeutics,5.885,5.79,-0.09499999999999975
DPC0002,DPC0004,Fc1ccc([*:1])cc1,Cl[*:1],C[*:1],Mosaic Medicines | Northstar Therapeutics,Mosaic Medicines | Northstar Therapeutics,5.885,5.62,-0.2649999999999997
DPC0002,DPC0005,Fc1ccc([*:1])cc1,Cl[*:1],CC[*:1],Mosaic Medicines | Northstar Therapeutics,Mosaic Medicines | Northstar Therapeutics,5.885,5.63,-0.2549999999999999
DPC0002,DPC0006,Fc1ccc([*:1])cc1,Cl[*:1],CCC[*:1],Mosaic Medicines | Northstar Therapeutics,Mosaic Medicines | Northstar Therapeutics,5.885,5.5649999999999995,-0.3200000000000003
DPC0002,DPC0007,Fc1ccc([*:1])cc1,Cl[*:1],CO[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.885,5.35,-0.5350000000000001
DPC0002,DPC0008,Fc1ccc([*:1])cc1,Cl[*:1],CCO[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.885,5.47,-0.41500000000000004
DPC0002,DPC0009,Fc1ccc([*:1])cc1,Cl[*:1],N[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.885,5.48,-0.40499999999999936
DPC0002,DPC0010,Fc1ccc([*:1])cc1,Cl[*:1],CN[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.885,5.65,-0.23499999999999943
DPC0002,DPC0011,Fc1ccc([*:1])cc1,Cl[*:1],CN(C)[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.885,5.75,-0.1349999999999998
DPC0002,DPC0012,Fc1ccc([*:1])cc1,Cl[*:1],N#C[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.885,5.77,-0.11500000000000021
DPC0002,DPC0013,Fc1ccc([*:1])cc1,Cl[*:1],FC(F)(F)[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.885,5.6,-0.28500000000000014
DPC0002,DPC0014,Fc1ccc([*:1])cc1,Cl[*:1],NC(=O)[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.885,5.46,-0.4249999999999998
DPC0002,DPC0015,Fc1ccc([*:1])cc1,Cl[*:1],CNC(=O)[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.885,5.5,-0.3849999999999998
DPC0002,DPC0016,Fc1ccc([*:1])cc1,Cl[*:1],NS(=O)(=O)[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.885,5.45,-0.4349999999999996
DPC0002,DPC0017,Fc1ccc([*:1])cc1,Cl[*:1],FC(F)(F)O[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.885,5.6,-0.28500000000000014
DPC0002,DPC0018,Fc1ccc([*:1])cc1,Cl[*:1],C1CN([*:1])CCO1,Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.885,5.95,0.06500000000000039
DPC0002,DPC0019,Fc1ccc([*:1])cc1,Cl[*:1],C1CC1[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.885,5.74,-0.14499999999999957
DPC0002,DPC0020,Fc1ccc([*:1])cc1,Cl[*:1],C1CCC([*:1])CC1,Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.885,5.86,-0.024999999999999467
DPC0002,DPC0021,Fc1ccc([*:1])cc1,Cl[*:1],O[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.885,5.58,-0.3049999999999997
DPC0002,DPC0022,Fc1ccc([*:1])cc1,Cl[*:1],O=C(O)[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.885,5.51,-0.375
DPC0003,DPC0004,Fc1ccc([*:1])cc1,Br[*:1],C[*:1],Mosaic Medicines | Northstar Therapeutics,Mosaic Medicines | Northstar Therapeutics,5.79,5.62,-0.16999999999999993
DPC0003,DPC0005,Fc1ccc([*:1])cc1,Br[*:1],CC[*:1],Mosaic Medicines | Northstar Therapeutics,Mosaic Medicines | Northstar Therapeutics,5.79,5.63,-0.16000000000000014
DPC0003,DPC0006,Fc1ccc([*:1])cc1,Br[*:1],CCC[*:1],Mosaic Medicines | Northstar Therapeutics,Mosaic Medicines | Northstar Therapeutics,5.79,5.5649999999999995,-0.22500000000000053
DPC0003,DPC0007,Fc1ccc([*:1])cc1,Br[*:1],CO[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.79,5.35,-0.4400000000000004
DPC0003,DPC0008,Fc1ccc([*:1])cc1,Br[*:1],CCO[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.79,5.47,-0.3200000000000003
DPC0003,DPC0009,Fc1ccc([*:1])cc1,Br[*:1],N[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.79,5.48,-0.3099999999999996
DPC0003,DPC0010,Fc1ccc([*:1])cc1,Br[*:1],CN[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.79,5.65,-0.13999999999999968
DPC0003,DPC0011,Fc1ccc([*:1])cc1,Br[*:1],CN(C)[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.79,5.75,-0.040000000000000036
DPC0003,DPC0012,Fc1ccc([*:1])cc1,Br[*:1],N#C[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.79,5.77,-0.020000000000000462
DPC0003,DPC0013,Fc1ccc([*:1])cc1,Br[*:1],FC(F)(F)[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.79,5.6,-0.1900000000000004
DPC0003,DPC0014,Fc1ccc([*:1])cc1,Br[*:1],NC(=O)[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.79,5.46,-0.33000000000000007
DPC0003,DPC0015,Fc1ccc([*:1])cc1,Br[*:1],CNC(=O)[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.79,5.5,-0.29000000000000004
DPC0003,DPC0016,Fc1ccc([*:1])cc1,Br[*:1],NS(=O)(=O)[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.79,5.45,-0.33999999999999986
DPC0003,DPC0017,Fc1ccc([*:1])cc1,Br[*:1],FC(F)(F)O[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.79,5.6,-0.1900000000000004
DPC0003,DPC0018,Fc1ccc([*:1])cc1,Br[*:1],C1CN([*:1])CCO1,Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.79,5.95,0.16000000000000014
DPC0003,DPC0019,Fc1ccc([*:1])cc1,Br[*:1],C1CC1[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.79,5.74,-0.04999999999999982
DPC0003,DPC0020,Fc1ccc([*:1])cc1,Br[*:1],C1CCC([*:1])CC1,Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.79,5.86,0.07000000000000028
DPC0003,DPC0021,Fc1ccc([*:1])cc1,Br[*:1],O[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.79,5.58,-0.20999999999999996
DPC0003,DPC0022,Fc1ccc([*:1])cc1,Br[*:1],O=C(O)[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.79,5.51,-0.28000000000000025
DPC0004,DPC0005,Fc1ccc([*:1])cc1,C[*:1],CC[*:1],Mosaic Medicines | Northstar Therapeutics,Mosaic Medicines | Northstar Therapeutics,5.62,5.63,0.009999999999999787
DPC0004,DPC0006,Fc1ccc([*:1])cc1,C[*:1],CCC[*:1],Mosaic Medicines | Northstar Therapeutics,Mosaic Medicines | Northstar Therapeutics,5.62,5.5649999999999995,-0.055000000000000604
DPC0004,DPC0007,Fc1ccc([*:1])cc1,C[*:1],CO[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.62,5.35,-0.27000000000000046
DPC0004,DPC0008,Fc1ccc([*:1])cc1,C[*:1],CCO[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.62,5.47,-0.15000000000000036
DPC0004,DPC0009,Fc1ccc([*:1])cc1,C[*:1],N[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.62,5.48,-0.13999999999999968
DPC0004,DPC0010,Fc1ccc([*:1])cc1,C[*:1],CN[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.62,5.65,0.03000000000000025
DPC0004,DPC0011,Fc1ccc([*:1])cc1,C[*:1],CN(C)[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.62,5.75,0.1299999999999999
DPC0004,DPC0012,Fc1ccc([*:1])cc1,C[*:1],N#C[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.62,5.77,0.14999999999999947
DPC0004,DPC0013,Fc1ccc([*:1])cc1,C[*:1],FC(F)(F)[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.62,5.6,-0.020000000000000462
DPC0004,DPC0014,Fc1ccc([*:1])cc1,C[*:1],NC(=O)[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.62,5.46,-0.16000000000000014
DPC0004,DPC0015,Fc1ccc([*:1])cc1,C[*:1],CNC(=O)[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.62,5.5,-0.1200000000000001
DPC0004,DPC0016,Fc1ccc([*:1])cc1,C[*:1],NS(=O)(=O)[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.62,5.45,-0.16999999999999993
DPC0004,DPC0017,Fc1ccc([*:1])cc1,C[*:1],FC(F)(F)O[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.62,5.6,-0.020000000000000462
DPC0004,DPC0018,Fc1ccc([*:1])cc1,C[*:1],C1CN([*:1])CCO1,Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.62,5.95,0.33000000000000007
DPC0004,DPC0019,Fc1ccc([*:1])cc1,C[*:1],C1CC1[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.62,5.74,0.1200000000000001
DPC0004,DPC0020,Fc1ccc([*:1])cc1,C[*:1],C1CCC([*:1])CC1,Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.62,5.86,0.2400000000000002
DPC0004,DPC0021,Fc1ccc([*:1])cc1,C[*:1],O[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.62,5.58,-0.040000000000000036
DPC0004,DPC0022,Fc1ccc([*:1])cc1,C[*:1],O=C(O)[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.62,5.51,-0.11000000000000032
DPC0005,DPC0006,Fc1ccc([*:1])cc1,CC[*:1],CCC[*:1],Mosaic Medicines | Northstar Therapeutics,Mosaic Medicines | Northstar Therapeutics,5.63,5.5649999999999995,-0.06500000000000039
DPC0005,DPC0007,Fc1ccc([*:1])cc1,CC[*:1],CO[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.63,5.35,-0.28000000000000025
DPC0005,DPC0008,Fc1ccc([*:1])cc1,CC[*:1],CCO[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.63,5.47,-0.16000000000000014
DPC0005,DPC0009,Fc1ccc([*:1])cc1,CC[*:1],N[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.63,5.48,-0.14999999999999947
DPC0005,DPC0010,Fc1ccc([*:1])cc1,CC[*:1],CN[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.63,5.65,0.020000000000000462
DPC0005,DPC0011,Fc1ccc([*:1])cc1,CC[*:1],CN(C)[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.63,5.75,0.1200000000000001
DPC0005,DPC0012,Fc1ccc([*:1])cc1,CC[*:1],N#C[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.63,5.77,0.13999999999999968
DPC0005,DPC0013,Fc1ccc([*:1])cc1,CC[*:1],FC(F)(F)[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.63,5.6,-0.03000000000000025
DPC0005,DPC0014,Fc1ccc([*:1])cc1,CC[*:1],NC(=O)[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.63,5.46,-0.16999999999999993
DPC0005,DPC0015,Fc1ccc([*:1])cc1,CC[*:1],CNC(=O)[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.63,5.5,-0.1299999999999999
DPC0005,DPC0016,Fc1ccc([*:1])cc1,CC[*:1],NS(=O)(=O)[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.63,5.45,-0.17999999999999972
DPC0005,DPC0017,Fc1ccc([*:1])cc1,CC[*:1],FC(F)(F)O[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.63,5.6,-0.03000000000000025
DPC0005,DPC0018,Fc1ccc([*:1])cc1,CC[*:1],C1CN([*:1])CCO1,Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.63,5.95,0.3200000000000003
DPC0005,DPC0019,Fc1ccc([*:1])cc1,CC[*:1],C1CC1[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.63,5.74,0.11000000000000032
DPC0005,DPC0020,Fc1ccc([*:1])cc1,CC[*:1],C1CCC([*:1])CC1,Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.63,5.86,0.23000000000000043
DPC0005,DPC0021,Fc1ccc([*:1])cc1,CC[*:1],O[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.63,5.58,-0.04999999999999982
DPC0005,DPC0022,Fc1ccc([*:1])cc1,CC[*:1],O=C(O)[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.63,5.51,-0.1200000000000001
DPC0006,DPC0007,Fc1ccc([*:1])cc1,CCC[*:1],CO[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.5649999999999995,5.35,-0.21499999999999986
DPC0006,DPC0008,Fc1ccc([*:1])cc1,CCC[*:1],CCO[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.5649999999999995,5.47,-0.09499999999999975
DPC0006,DPC0009,Fc1ccc([*:1])cc1,CCC[*:1],N[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.5649999999999995,5.48,-0.08499999999999908
DPC0006,DPC0010,Fc1ccc([*:1])cc1,CCC[*:1],CN[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.5649999999999995,5.65,0.08500000000000085
DPC0006,DPC0011,Fc1ccc([*:1])cc1,CCC[*:1],CN(C)[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.5649999999999995,5.75,0.1850000000000005
DPC0006,DPC0012,Fc1ccc([*:1])cc1,CCC[*:1],N#C[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.5649999999999995,5.77,0.20500000000000007
DPC0006,DPC0013,Fc1ccc([*:1])cc1,CCC[*:1],FC(F)(F)[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.5649999999999995,5.6,0.03500000000000014
DPC0006,DPC0014,Fc1ccc([*:1])cc1,CCC[*:1],NC(=O)[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.5649999999999995,5.46,-0.10499999999999954
DPC0006,DPC0015,Fc1ccc([*:1])cc1,CCC[*:1],CNC(=O)[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.5649999999999995,5.5,-0.0649999999999995
DPC0006,DPC0016,Fc1ccc([*:1])cc1,CCC[*:1],NS(=O)(=O)[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.5649999999999995,5.45,-0.11499999999999932
DPC0006,DPC0017,Fc1ccc([*:1])cc1,CCC[*:1],FC(F)(F)O[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.5649999999999995,5.6,0.03500000000000014
DPC0006,DPC0018,Fc1ccc([*:1])cc1,CCC[*:1],C1CN([*:1])CCO1,Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.5649999999999995,5.95,0.3850000000000007
DPC0006,DPC0019,Fc1ccc([*:1])cc1,CCC[*:1],C1CC1[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.5649999999999995,5.74,0.1750000000000007
DPC0006,DPC0020,Fc1ccc([*:1])cc1,CCC[*:1],C1CCC([*:1])CC1,Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.5649999999999995,5.86,0.2950000000000008
DPC0006,DPC0021,Fc1ccc([*:1])cc1,CCC[*:1],O[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.5649999999999995,5.58,0.015000000000000568
DPC0006,DPC0022,Fc1ccc([*:1])cc1,CCC[*:1],O=C(O)[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.5649999999999995,5.51,-0.054999999999999716
DPC0007,DPC0008,Fc1ccc([*:1])cc1,CO[*:1],CCO[*:1],Northstar Therapeutics,Northstar Therapeutics,5.35,5.47,0.1200000000000001
DPC0007,DPC0009,Fc1ccc([*:1])cc1,CO[*:1],N[*:1],Northstar Therapeutics,Northstar Therapeutics,5.35,5.48,0.13000000000000078
DPC0007,DPC0010,Fc1ccc([*:1])cc1,CO[*:1],CN[*:1],Northstar Therapeutics,Northstar Therapeutics,5.35,5.65,0.3000000000000007
DPC0007,DPC0011,Fc1ccc([*:1])cc1,CO[*:1],CN(C)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.35,5.75,0.40000000000000036
DPC0007,DPC0012,Fc1ccc([*:1])cc1,CO[*:1],N#C[*:1],Northstar Therapeutics,Northstar Therapeutics,5.35,5.77,0.41999999999999993
DPC0007,DPC0013,Fc1ccc([*:1])cc1,CO[*:1],FC(F)(F)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.35,5.6,0.25
DPC0007,DPC0014,Fc1ccc([*:1])cc1,CO[*:1],NC(=O)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.35,5.46,0.11000000000000032
DPC0007,DPC0015,Fc1ccc([*:1])cc1,CO[*:1],CNC(=O)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.35,5.5,0.15000000000000036
DPC0007,DPC0016,Fc1ccc([*:1])cc1,CO[*:1],NS(=O)(=O)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.35,5.45,0.10000000000000053
DPC0007,DPC0017,Fc1ccc([*:1])cc1,CO[*:1],FC(F)(F)O[*:1],Northstar Therapeutics,Northstar Therapeutics,5.35,5.6,0.25
DPC0007,DPC0018,Fc1ccc([*:1])cc1,CO[*:1],C1CN([*:1])CCO1,Northstar Therapeutics,Northstar Therapeutics,5.35,5.95,0.6000000000000005
DPC0007,DPC0019,Fc1ccc([*:1])cc1,CO[*:1],C1CC1[*:1],Northstar Therapeutics,Northstar Therapeutics,5.35,5.74,0.39000000000000057
DPC0007,DPC0020,Fc1ccc([*:1])cc1,CO[*:1],C1CCC([*:1])CC1,Northstar Therapeutics,Northstar Therapeutics,5.35,5.86,0.5100000000000007
DPC0007,DPC0021,Fc1ccc([*:1])cc1,CO[*:1],O[*:1],Northstar Therapeutics,Northstar Therapeutics,5.35,5.58,0.23000000000000043
DPC0007,DPC0022,Fc1ccc([*:1])cc1,CO[*:1],O=C(O)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.35,5.51,0.16000000000000014
DPC0008,DPC0009,Fc1ccc([*:1])cc1,CCO[*:1],N[*:1],Northstar Therapeutics,Northstar Therapeutics,5.47,5.48,0.010000000000000675
DPC0008,DPC0010,Fc1ccc([*:1])cc1,CCO[*:1],CN[*:1],Northstar Therapeutics,Northstar Therapeutics,5.47,5.65,0.1800000000000006
DPC0008,DPC0011,Fc1ccc([*:1])cc1,CCO[*:1],CN(C)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.47,5.75,0.28000000000000025
DPC0008,DPC0012,Fc1ccc([*:1])cc1,CCO[*:1],N#C[*:1],Northstar Therapeutics,Northstar Therapeutics,5.47,5.77,0.2999999999999998
DPC0008,DPC0013,Fc1ccc([*:1])cc1,CCO[*:1],FC(F)(F)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.47,5.6,0.1299999999999999
DPC0008,DPC0014,Fc1ccc([*:1])cc1,CCO[*:1],NC(=O)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.47,5.46,-0.009999999999999787
DPC0008,DPC0015,Fc1ccc([*:1])cc1,CCO[*:1],CNC(=O)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.47,5.5,0.03000000000000025
DPC0008,DPC0016,Fc1ccc([*:1])cc1,CCO[*:1],NS(=O)(=O)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.47,5.45,-0.019999999999999574
DPC0008,DPC0017,Fc1ccc([*:1])cc1,CCO[*:1],FC(F)(F)O[*:1],Northstar Therapeutics,Northstar Therapeutics,5.47,5.6,0.1299999999999999
DPC0008,DPC0018,Fc1ccc([*:1])cc1,CCO[*:1],C1CN([*:1])CCO1,Northstar Therapeutics,Northstar Therapeutics,5.47,5.95,0.4800000000000004
DPC0008,DPC0019,Fc1ccc([*:1])cc1,CCO[*:1],C1CC1[*:1],Northstar Therapeutics,Northstar Therapeutics,5.47,5.74,0.27000000000000046
DPC0008,DPC0020,Fc1ccc([*:1])cc1,CCO[*:1],C1CCC([*:1])CC1,Northstar Therapeutics,Northstar Therapeutics,5.47,5.86,0.39000000000000057
DPC0008,DPC0021,Fc1ccc([*:1])cc1,CCO[*:1],O[*:1],Northstar Therapeutics,Northstar Therapeutics,5.47,5.58,0.11000000000000032
DPC0008,DPC0022,Fc1ccc([*:1])cc1,CCO[*:1],O=C(O)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.47,5.51,0.040000000000000036
DPC0009,DPC0010,Fc1ccc([*:1])cc1,N[*:1],CN[*:1],Northstar Therapeutics,Northstar Therapeutics,5.48,5.65,0.16999999999999993
DPC0009,DPC0011,Fc1ccc([*:1])cc1,N[*:1],CN(C)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.48,5.75,0.2699999999999996
DPC0009,DPC0012,Fc1ccc([*:1])cc1,N[*:1],N#C[*:1],Northstar Therapeutics,Northstar Therapeutics,5.48,5.77,0.28999999999999915
DPC0009,DPC0013,Fc1ccc([*:1])cc1,N[*:1],FC(F)(F)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.48,5.6,0.11999999999999922
DPC0009,DPC0014,Fc1ccc([*:1])cc1,N[*:1],NC(=O)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.48,5.46,-0.020000000000000462
DPC0009,DPC0015,Fc1ccc([*:1])cc1,N[*:1],CNC(=O)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.48,5.5,0.019999999999999574
DPC0009,DPC0016,Fc1ccc([*:1])cc1,N[*:1],NS(=O)(=O)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.48,5.45,-0.03000000000000025
