compound_id,smiles,patent_id,assignee,publication_date,year,series,assay_id,standard_relation,pIC50,project_note,source_row,raw_smiles,standardized_smiles,status,analysis_value,analysis_relation,is_exact_measurement,measurement_qc_flag
DPC0019,Fc1ccc(C2CC2)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-08,=,5.74,primary measurement,19,Fc1ccc(C2CC2)cc1,Fc1ccc(C2CC2)cc1,accepted,5.74,=,True,usable_exact_value
DPC0020,Fc1ccc(C2CCCCC2)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-09,=,5.86,primary measurement,20,Fc1ccc(C2CCCCC2)cc1,Fc1ccc(C2CCCCC2)cc1,accepted,5.86,=,True,usable_exact_value
DPC0021,Oc1ccc(F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-10,=,5.58,primary measurement,21,Oc1ccc(F)cc1,Oc1ccc(F)cc1,accepted,5.58,=,True,usable_exact_value
DPC0022,O=C(O)c1ccc(F)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-11,=,5.51,primary measurement,22,O=C(O)c1ccc(F)cc1,O=C(O)c1ccc(F)cc1,accepted,5.51,=,True,usable_exact_value
DPC0023,Clc1ccc(Cl)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-12,<,5.53,primary measurement,23,Clc1ccc(Cl)cc1,Clc1ccc(Cl)cc1,accepted,5.53,<,False,censored_or_approximate
DPC0024,Clc1ccc(Br)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-01,=,5.48,primary measurement,24,Clc1ccc(Br)cc1,Clc1ccc(Br)cc1,accepted,5.48,=,True,usable_exact_value
DPC0025,Cc1ccc(Cl)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-02,=,5.46,primary measurement,25,Cc1ccc(Cl)cc1,Cc1ccc(Cl)cc1,accepted,5.46,=,True,usable_exact_value
DPC0026,CCc1ccc(Cl)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-03,=,5.64,primary measurement,26,CCc1ccc(Cl)cc1,CCc1ccc(Cl)cc1,accepted,5.64,=,True,usable_exact_value
DPC0027,CCCc1ccc(Cl)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-04,=,5.67,primary measurement,27,CCCc1ccc(Cl)cc1,CCCc1ccc(Cl)cc1,accepted,5.67,=,True,usable_exact_value
DPC0028,COc1ccc(Cl)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-05,=,5.82,primary measurement,28,COc1ccc(Cl)cc1,COc1ccc(Cl)cc1,accepted,5.82,=,True,usable_exact_value
DPC0029,CCOc1ccc(Cl)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-06,=,5.81,primary measurement,29,CCOc1ccc(Cl)cc1,CCOc1ccc(Cl)cc1,accepted,5.81,=,True,usable_exact_value
DPC0030,Nc1ccc(Cl)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-07,=,5.59,primary measurement,30,Nc1ccc(Cl)cc1,Nc1ccc(Cl)cc1,accepted,5.59,=,True,usable_exact_value
DPC0031,CNc1ccc(Cl)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-08,=,5.54,primary measurement,31,CNc1ccc(Cl)cc1,CNc1ccc(Cl)cc1,accepted,5.54,=,True,usable_exact_value
DPC0032,CN(C)c1ccc(Cl)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-09,=,5.54,primary measurement,32,CN(C)c1ccc(Cl)cc1,CN(C)c1ccc(Cl)cc1,accepted,5.54,=,True,usable_exact_value
DPC0033,N#Cc1ccc(Cl)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-10,=,5.64,primary measurement,33,N#Cc1ccc(Cl)cc1,N#Cc1ccc(Cl)cc1,accepted,5.64,=,True,usable_exact_value
DPC0034,FC(F)(F)c1ccc(Cl)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-11,=,5.69,primary measurement,34,FC(F)(F)c1ccc(Cl)cc1,FC(F)(F)c1ccc(Cl)cc1,accepted,5.69,=,True,usable_exact_value
DPC0035,NC(=O)c1ccc(Cl)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-12,=,5.77,primary measurement,35,NC(=O)c1ccc(Cl)cc1,NC(=O)c1ccc(Cl)cc1,accepted,5.77,=,True,usable_exact_value
DPC0036,CNC(=O)c1ccc(Cl)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-01,=,5.94,primary measurement,36,CNC(=O)c1ccc(Cl)cc1,CNC(=O)c1ccc(Cl)cc1,accepted,5.94,=,True,usable_exact_value
DPC0037,NS(=O)(=O)c1ccc(Cl)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-02,>,5.86,primary measurement,37,NS(=O)(=O)c1ccc(Cl)cc1,NS(=O)(=O)c1ccc(Cl)cc1,accepted,5.86,>,False,censored_or_approximate
DPC0038,FC(F)(F)Oc1ccc(Cl)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-03,=,5.83,primary measurement,38,FC(F)(F)Oc1ccc(Cl)cc1,FC(F)(F)Oc1ccc(Cl)cc1,accepted,5.83,=,True,usable_exact_value
DPC0039,Clc1ccc(N2CCOCC2)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-04,=,5.94,primary measurement,39,Clc1ccc(N2CCOCC2)cc1,Clc1ccc(N2CCOCC2)cc1,accepted,5.94,=,True,usable_exact_value
DPC0040,Clc1ccc(C2CC2)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-05,=,5.56,primary measurement,40,Clc1ccc(C2CC2)cc1,Clc1ccc(C2CC2)cc1,accepted,5.56,=,True,usable_exact_value
DPC0041,Clc1ccc(C2CCCCC2)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-06,=,5.66,primary measurement,41,Clc1ccc(C2CCCCC2)cc1,Clc1ccc(C2CCCCC2)cc1,accepted,5.66,=,True,usable_exact_value
DPC0042,Oc1ccc(Cl)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-07,=,5.53,primary measurement,42,Oc1ccc(Cl)cc1,Oc1ccc(Cl)cc1,accepted,5.53,=,True,usable_exact_value
DPC0043,O=C(O)c1ccc(Cl)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-08,=,5.7,primary measurement,43,O=C(O)c1ccc(Cl)cc1,O=C(O)c1ccc(Cl)cc1,accepted,5.7,=,True,usable_exact_value
DPC0044,Brc1ccc(Br)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-09,=,5.74,primary measurement,44,Brc1ccc(Br)cc1,Brc1ccc(Br)cc1,accepted,5.74,=,True,usable_exact_value
DPC0045,Cc1ccc(Br)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-10,=,5.72,primary measurement,45,Cc1ccc(Br)cc1,Cc1ccc(Br)cc1,accepted,5.72,=,True,usable_exact_value
DPC0046,CCc1ccc(Br)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-11,<,5.76,primary measurement,46,CCc1ccc(Br)cc1,CCc1ccc(Br)cc1,accepted,5.76,<,False,censored_or_approximate
DPC0047,CCCc1ccc(Br)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-12,=,5.59,primary measurement,47,CCCc1ccc(Br)cc1,CCCc1ccc(Br)cc1,accepted,5.59,=,True,usable_exact_value
DPC0048,COc1ccc(Br)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-01,=,5.58,primary measurement,48,COc1ccc(Br)cc1,COc1ccc(Br)cc1,accepted,5.58,=,True,usable_exact_value
DPC0049,CCOc1ccc(Br)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-02,=,5.53,primary measurement,49,CCOc1ccc(Br)cc1,CCOc1ccc(Br)cc1,accepted,5.53,=,True,usable_exact_value
DPC0050,Nc1ccc(Br)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-03,=,5.41,primary measurement,50,Nc1ccc(Br)cc1,Nc1ccc(Br)cc1,accepted,5.41,=,True,usable_exact_value
DPC0051,CNc1ccc(Br)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-04,=,5.55,primary measurement,51,CNc1ccc(Br)cc1,CNc1ccc(Br)cc1,accepted,5.55,=,True,usable_exact_value
DPC0052,CN(C)c1ccc(Br)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-05,=,5.74,primary measurement,52,CN(C)c1ccc(Br)cc1,CN(C)c1ccc(Br)cc1,accepted,5.74,=,True,usable_exact_value
DPC0053,N#Cc1ccc(Br)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-06,=,5.91,primary measurement,53,N#Cc1ccc(Br)cc1,N#Cc1ccc(Br)cc1,accepted,5.91,=,True,usable_exact_value
DPC0054,FC(F)(F)c1ccc(Br)cc1,DEMO-101-A1,Northstar Therapeutics,2022-03-17,2022,phenyl,ASSAY-01-07,=,5.87,primary measurement,54,FC(F)(F)c1ccc(Br)cc1,FC(F)(F)c1ccc(Br)cc1,accepted,5.87,=,True,usable_exact_value
DPC0055,NC(=O)c1ccc(Br)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-08,=,5.94,primary measurement,55,NC(=O)c1ccc(Br)cc1,NC(=O)c1ccc(Br)cc1,accepted,5.94,=,True,usable_exact_value
DPC0056,CNC(=O)c1ccc(Br)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-09,=,5.9,primary measurement,56,CNC(=O)c1ccc(Br)cc1,CNC(=O)c1ccc(Br)cc1,accepted,5.9,=,True,usable_exact_value
DPC0057,NS(=O)(=O)c1ccc(Br)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-10,=,5.7,primary measurement,57,NS(=O)(=O)c1ccc(Br)cc1,NS(=O)(=O)c1ccc(Br)cc1,accepted,5.7,=,True,usable_exact_value
DPC0058,FC(F)(F)Oc1ccc(Br)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-11,=,5.69,primary measurement,58,FC(F)(F)Oc1ccc(Br)cc1,FC(F)(F)Oc1ccc(Br)cc1,accepted,5.69,=,True,usable_exact_value
DPC0059,Brc1ccc(N2CCOCC2)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-12,=,5.95,primary measurement,59,Brc1ccc(N2CCOCC2)cc1,Brc1ccc(N2CCOCC2)cc1,accepted,5.95,=,True,usable_exact_value
DPC0060,Brc1ccc(C2CC2)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-01,=,5.78,primary measurement,60,Brc1ccc(C2CC2)cc1,Brc1ccc(C2CC2)cc1,accepted,5.78,=,True,usable_exact_value
DPC0061,Brc1ccc(C2CCCCC2)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-02,=,6.04,primary measurement,61,Brc1ccc(C2CCCCC2)cc1,Brc1ccc(C2CCCCC2)cc1,accepted,6.04,=,True,usable_exact_value
DPC0062,Oc1ccc(Br)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-03,=,5.93,primary measurement,62,Oc1ccc(Br)cc1,Oc1ccc(Br)cc1,accepted,5.93,=,True,usable_exact_value
DPC0063,O=C(O)c1ccc(Br)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-04,=,5.99,primary measurement,63,O=C(O)c1ccc(Br)cc1,O=C(O)c1ccc(Br)cc1,accepted,5.99,=,True,usable_exact_value
DPC0064,Cc1ccc(C)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-05,=,5.73,primary measurement,64,Cc1ccc(C)cc1,Cc1ccc(C)cc1,accepted,5.73,=,True,usable_exact_value
DPC0065,CCc1ccc(C)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-06,=,5.7,primary measurement,65,CCc1ccc(C)cc1,CCc1ccc(C)cc1,accepted,5.7,=,True,usable_exact_value
DPC0066,CCCc1ccc(C)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-07,=,5.55,primary measurement,66,CCCc1ccc(C)cc1,CCCc1ccc(C)cc1,accepted,5.55,=,True,usable_exact_value
DPC0067,COc1ccc(C)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-08,=,5.65,primary measurement,67,COc1ccc(C)cc1,COc1ccc(C)cc1,accepted,5.65,=,True,usable_exact_value
DPC0068,CCOc1ccc(C)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-09,=,5.76,primary measurement,68,CCOc1ccc(C)cc1,CCOc1ccc(C)cc1,accepted,5.76,=,True,usable_exact_value
DPC0069,Cc1ccc(N)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-10,<,5.76,primary measurement,69,Cc1ccc(N)cc1,Cc1ccc(N)cc1,accepted,5.76,<,False,censored_or_approximate
DPC0070,CNc1ccc(C)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-11,=,5.93,primary measurement,70,CNc1ccc(C)cc1,CNc1ccc(C)cc1,accepted,5.93,=,True,usable_exact_value
DPC0071,Cc1ccc(N(C)C)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-12,=,6.03,primary measurement,71,Cc1ccc(N(C)C)cc1,Cc1ccc(N(C)C)cc1,accepted,6.03,=,True,usable_exact_value
DPC0072,Cc1ccc(C#N)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-01,=,6.04,primary measurement,72,Cc1ccc(C#N)cc1,Cc1ccc(C#N)cc1,accepted,6.04,=,True,usable_exact_value
DPC0073,Cc1ccc(C(F)(F)F)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-02,=,5.86,primary measurement,73,Cc1ccc(C(F)(F)F)cc1,Cc1ccc(C(F)(F)F)cc1,accepted,5.86,=,True,usable_exact_value
DPC0074,Cc1ccc(C(N)=O)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-03,>,5.67,primary measurement,74,Cc1ccc(C(N)=O)cc1,Cc1ccc(C(N)=O)cc1,accepted,5.67,>,False,censored_or_approximate
DPC0075,CNC(=O)c1ccc(C)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-04,=,5.67,primary measurement,75,CNC(=O)c1ccc(C)cc1,CNC(=O)c1ccc(C)cc1,accepted,5.67,=,True,usable_exact_value
DPC0076,Cc1ccc(S(N)(=O)=O)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-05,=,5.57,primary measurement,76,Cc1ccc(S(N)(=O)=O)cc1,Cc1ccc(S(N)(=O)=O)cc1,accepted,5.57,=,True,usable_exact_value
DPC0077,Cc1ccc(OC(F)(F)F)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-06,=,5.69,primary measurement,77,Cc1ccc(OC(F)(F)F)cc1,Cc1ccc(OC(F)(F)F)cc1,accepted,5.69,=,True,usable_exact_value
DPC0078,Cc1ccc(N2CCOCC2)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-07,=,6.03,primary measurement,78,Cc1ccc(N2CCOCC2)cc1,Cc1ccc(N2CCOCC2)cc1,accepted,6.03,=,True,usable_exact_value
DPC0079,Cc1ccc(C2CC2)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-08,=,5.83,primary measurement,79,Cc1ccc(C2CC2)cc1,Cc1ccc(C2CC2)cc1,accepted,5.83,=,True,usable_exact_value
DPC0080,Cc1ccc(C2CCCCC2)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-09,=,5.99,primary measurement,80,Cc1ccc(C2CCCCC2)cc1,Cc1ccc(C2CCCCC2)cc1,accepted,5.99,=,True,usable_exact_value
DPC0081,Cc1ccc(O)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-10,=,5.73,primary measurement,81,Cc1ccc(O)cc1,Cc1ccc(O)cc1,accepted,5.73,=,True,usable_exact_value
DPC0082,Cc1ccc(C(=O)O)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-11,=,5.69,primary measurement,82,Cc1ccc(C(=O)O)cc1,Cc1ccc(C(=O)O)cc1,accepted,5.69,=,True,usable_exact_value
DPC0083,CCc1ccc(CC)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-12,=,5.66,primary measurement,83,CCc1ccc(CC)cc1,CCc1ccc(CC)cc1,accepted,5.66,=,True,usable_exact_value
DPC0084,CCCc1ccc(CC)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-01,=,5.59,primary measurement,84,CCCc1ccc(CC)cc1,CCCc1ccc(CC)cc1,accepted,5.59,=,True,usable_exact_value
DPC0085,CCc1ccc(OC)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-02,=,5.78,primary measurement,85,CCc1ccc(OC)cc1,CCc1ccc(OC)cc1,accepted,5.78,=,True,usable_exact_value
DPC0086,CCOc1ccc(CC)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-03,=,5.96,primary measurement,86,CCOc1ccc(CC)cc1,CCOc1ccc(CC)cc1,accepted,5.96,=,True,usable_exact_value
DPC0087,CCc1ccc(N)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-04,=,5.98,primary measurement,87,CCc1ccc(N)cc1,CCc1ccc(N)cc1,accepted,5.98,=,True,usable_exact_value
DPC0088,CCc1ccc(NC)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-05,=,6.11,primary measurement,88,CCc1ccc(NC)cc1,CCc1ccc(NC)cc1,accepted,6.11,=,True,usable_exact_value
DPC0089,CCc1ccc(N(C)C)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-06,=,6.16,primary measurement,89,CCc1ccc(N(C)C)cc1,CCc1ccc(N(C)C)cc1,accepted,6.16,=,True,usable_exact_value
DPC0090,CCc1ccc(C#N)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-07,=,6.12,primary measurement,90,CCc1ccc(C#N)cc1,CCc1ccc(C#N)cc1,accepted,6.12,=,True,usable_exact_value
DPC0091,CCc1ccc(C(F)(F)F)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-08,=,5.92,primary measurement,91,CCc1ccc(C(F)(F)F)cc1,CCc1ccc(C(F)(F)F)cc1,accepted,5.92,=,True,usable_exact_value
DPC0092,CCc1ccc(C(N)=O)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-09,<,5.76,primary measurement,92,CCc1ccc(C(N)=O)cc1,CCc1ccc(C(N)=O)cc1,accepted,5.76,<,False,censored_or_approximate
DPC0093,CCc1ccc(C(=O)NC)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-10,=,5.81,primary measurement,93,CCc1ccc(C(=O)NC)cc1,CCc1ccc(C(=O)NC)cc1,accepted,5.81,=,True,usable_exact_value
DPC0094,CCc1ccc(S(N)(=O)=O)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-11,=,5.76,primary measurement,94,CCc1ccc(S(N)(=O)=O)cc1,CCc1ccc(S(N)(=O)=O)cc1,accepted,5.76,=,True,usable_exact_value
DPC0095,CCc1ccc(OC(F)(F)F)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-12,=,5.88,primary measurement,95,CCc1ccc(OC(F)(F)F)cc1,CCc1ccc(OC(F)(F)F)cc1,accepted,5.88,=,True,usable_exact_value
DPC0096,CCc1ccc(N2CCOCC2)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-01,=,6.18,primary measurement,96,CCc1ccc(N2CCOCC2)cc1,CCc1ccc(N2CCOCC2)cc1,accepted,6.18,=,True,usable_exact_value
DPC0097,CCc1ccc(C2CC2)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-02,=,5.9,primary measurement,97,CCc1ccc(C2CC2)cc1,CCc1ccc(C2CC2)cc1,accepted,5.9,=,True,usable_exact_value
DPC0098,CCc1ccc(C2CCCCC2)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-03,=,5.96,primary measurement,98,CCc1ccc(C2CCCCC2)cc1,CCc1ccc(C2CCCCC2)cc1,accepted,5.96,=,True,usable_exact_value
DPC0099,CCc1ccc(O)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-04,=,5.66,primary measurement,99,CCc1ccc(O)cc1,CCc1ccc(O)cc1,accepted,5.66,=,True,usable_exact_value
